,collector,country,un_subregion,so_region,age_range,age_midpoint,gender,self_identification,occupation,occupation_group,experience_range,experience_midpoint,salary_range,salary_midpoint,big_mac_index,tech_do,tech_want,aliens,programming_ability,employment_status,industry,company_size_range,team_size_range,women_on_team,remote,job_satisfaction,job_discovery,dev_environment,commit_frequency,hobby,dogs_vs_cats,desktop_os,unit_testing,rep_range,visit_frequency,why_learn_new_tech,education,open_to_new_job,new_job_value,job_search_annoyance,interview_likelihood,how_to_improve_interview_process,star_wars_vs_star_trek,agree_tech,agree_notice,agree_problemsolving,agree_diversity,agree_adblocker,agree_alcohol,agree_loveboss,agree_nightcode,agree_legacy,agree_mars,important_variety,important_control,important_sameend,important_newtech,important_buildnew,important_buildexisting,important_promotion,important_companymission,important_wfh,important_ownoffice,developer_challenges,why_stack_overflow
51533,Twitter,United States,North America,North America,35-39,37,Male,Developer; Programmer; Hacker,Embedded application developer,Embedded application developer,11+ years,13,"$90,000 - $100,000",95000,4.93,"Cloud (AWS, GAE, Azure, etc.); Python","Arduino / Raspberry Pi; C; C++; Cloud (AWS, GAE, Azure, etc.); Go; Python; R",Other (please specify),7,Employed full-time,Software Products,20-99 employees,10-14 people,2,Part-time remote,I'm somewhat satisfied with my job,Career fair,Vim; IntelliJ; IPython / Jupyter,Multiple times a day,2-5 hours per week,Cats,Debian,Yes,I'm not sure,Once a day,I'm curious,"I'm self-taught; On-the-job training; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); Industry certification program; Some college coursework in Computer Science (or related field)","I'm not actively looking, but I am open to new opportunities",Ability to make or influence important decisions; Building something that's significant; Remote working option,Finding time to search for a job,90%,Introduce me to the team; Fewer brainteasers; Prepare me for who I will be speaking with,Star Trek,Agree completely,Agree completely,Agree somewhat,Agree completely,Agree somewhat,Disagree completely,Agree completely,Neutral,Disagree somewhat,Agree somewhat,This is very important,This is very important,I don't care about this,This is very important,This is very important,This is very important,This is somewhat important,This is very important,This is very important,This is somewhat important,Unrealistic expectations; Unspecific requirements; Limited resources,To get help for my job; To give help to others; Beacause I love to learn
51538,Twitter,United States,North America,North America,35-39,37,Male,Sr. Developer,other,,6 - 10 years,8,"$110,000 - $120,000",115000,4.93,Android; C#; iOS; Ruby; SQL; SQL Server; Windows Phone,Windows Phone,Other (please specify),10,Employed full-time,Software Products,100-499 employees,5-9 people,0,Full-time remote,I love my job,A friend referred me,Notepad++; Visual Studio; Visual Studio Code,Multiple times a day,5-10 hours per week,Cats,Windows 10,Yes,101 - 500,Once a week,I'm curious,"I'm self-taught; On-the-job training; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); B.S. in Computer Science (or related field)","I'm not actively looking, but I am open to new opportunities",Building something that's significant; Remote working option; Building something that's innovative,The interview process,60%,Show me more live code; Be more flexible about interview scheduling; Introduce me to the team,Star Wars,Agree somewhat,Agree completely,Agree completely,Agree somewhat,Disagree completely,Agree somewhat,Agree somewhat,Agree completely,Disagree completely,Agree somewhat,This is very important,This is very important,This is very important,This is very important,This is very important,This is somewhat important,This is very important,This is very important,This is very important,This is very important,Poor scheduling; Changing requirements,To give help to others; Beacause I love to learn
51543,Twitter,United States,North America,North America,40-49,44.5,Male,Developer; Engineer; Programmer; Sr. Developer; Expert; Full-stack Developer,Mobile developer,"Mobile Dev (Android, iOS, WP & Multi-Platform)",11+ years,13,"More than $200,000",210000,4.93,Android; Arduino / Raspberry Pi; AngularJS; C; C++; C#; iOS; Java,Android; Arduino / Raspberry Pi; iOS,No,8,Freelance / Contractor,Consulting,1-4 employees,1-4 people,0,Full-time remote,I'm somewhat satisfied with my job,A friend referred me,Notepad++; Sublime; IntelliJ; Visual Studio; Xcode,Multiple times a day,1-2 hours per week,Dogs,Mac OS X,No,I'm not sure,Once a month,To keep my skills up to date,B.S. in Computer Science (or related field),I am not interested in new job opportunities,Tech stack; Quality of colleagues; Flexible work hours,The interview process,10%,Show me the space in which I will work; Fewer brainteasers; Prepare me for who I will be speaking with,Star Wars,Agree somewhat,Agree somewhat,Agree completely,Neutral,Agree completely,Disagree completely,Neutral,Disagree somewhat,Agree somewhat,Disagree completely,This is very important,This is very important,This is somewhat important,This is very important,This is very important,I don't care about this,I don't care about this,This is somewhat important,This is very important,This is very important,Corporate policies; Interacting with non-technical people; Interacting with stupid people,To get help for my job
51545,Twitter,United States,North America,North America,35-39,37,Male,Developer,DevOps,DevOps,11+ years,13,"$140,000 - $150,000",145000,4.93,AngularJS; C#; JavaScript; Scala; SQL,ReactJS; Scala; Swift,No,7,Employed full-time,Foundation / Non-Profit,100-499 employees,1-4 people,1,Never,I love my job,"Other job website e.g. Indeed, Monster, Dice, Xing, etc.",Sublime; Visual Studio; Visual Studio Code,Multiple times a day,None,Dogs,Windows 7,I don't know,"501 - 1,000",Multiple times a day,I'm curious,I'm self-taught,"I'm not actively looking, but I am open to new opportunities",Salary; Office location; Remote working option,Writing cover letters,0%,Show me more live code; Offer remote interviews (e.g. via video conference),Star Wars,Agree completely,Agree completely,Agree completely,Disagree completely,Agree completely,Disagree somewhat,Agree completely,Disagree completely,Neutral,Disagree completely,This is very important,This is somewhat important,This is somewhat important,This is very important,This is very important,This is very important,This is very important,This is somewhat important,This is very important,This is somewhat important,Unrealistic expectations; Poor documentation; Limited resources,To get help for my job; To give help to others; Because I can't do my job without it; whyso_onlinepresence; To discover new job opportunities; To demonstrate that I'm good at what I do; To communicate with others like me; Beacause I love to learn
51548,Twitter,United States,North America,North America,30-34,32,Male,Developer; Engineer; Programmer; Sr. Developer; Manager; Expert; Full-stack Developer; Hacker,"Executive (VP of Eng., CTO, CIO, etc.)","Executive (VP of Eng., CTO, CIO, etc.)",11+ years,13,"$60,000 - $70,000",65000,4.93,iOS; Objective-C; SQL,Swift,Yes,8,Employed full-time,Software Products,20-99 employees,5-9 people,3,Never,I love my job,"Other job website e.g. Indeed, Monster, Dice, Xing, etc.",Sublime; Xcode,Multiple times a day,None,Cats,Mac OS X,Yes,I don't have an account,Once a week,I want to be a better developer,"I'm self-taught; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); Some college coursework in Computer Science (or related field)",I am not interested in new job opportunities,Ability to make or influence important decisions; Industry; Work/life balance; Quality of colleagues; Company culture; Building something that's significant; Building something that's innovative,Searching for a job that seems interesting,70%,Show me more live code; interview_coffee; Prepare me for who I will be speaking with,Star Trek,Agree completely,Agree completely,Agree completely,Agree completely,Agree completely,Disagree completely,Agree completely,Neutral,Agree somewhat,Disagree somewhat,This is very important,This is very important,I don't care about this,This is very important,This is very important,This is very important,I don't care about this,This is very important,This is somewhat important,This is somewhat important,Fragile code base; Poor documentation; Limited resources,To get help for my job; To give help to others
51551,Twitter,United States,North America,North America,25-29,27,Female,Developer; Programmer; Rockstar,Mobile developer,"Mobile Dev (Android, iOS, WP & Multi-Platform)",2 - 5 years,3.5,"$70,000 - $80,000",75000,4.93,Android; AngularJS; C; C#; iOS; Java; JavaScript; LAMP; Node.js; Objective-C; ReactJS; Ruby; SharePoint; SQL; SQL Server; WordPress,Arduino / Raspberry Pi; Go; Haskell; ReactJS; Swift,No,5,Employed full-time,Software Products,500-999 employees,5-9 people,2,I rarely work remotely,I love my job,LinkedIn,Notepad++; Sublime; Vim; Visual Studio; Xamarin; Xcode,Multiple times a day,None,Cats,Mac OS X,Yes,I don't have an account,Multiple times a day,I'm curious,B.A. in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Salary; Tech stack; Building something that's significant,Writing cover letters,20%,interview_coffee,Star Trek,Agree somewhat,Agree completely,Agree completely,Agree somewhat,Disagree completely,Agree completely,Agree somewhat,Neutral,Neutral,Disagree completely,This is very important,This is very important,I don't care about this,This is very important,This is very important,This is somewhat important,This is somewhat important,I don't care about this,This is somewhat important,This is somewhat important,Poor team dynamics; Corporate policies; Unspecific requirements,Because I can't do my job without it
51553,Twitter,United States,North America,North America,35-39,37,Male,Engineer,Back-end web developer,Back-end web developer,11+ years,13,"$170,000 - $180,000",175000,4.93,"AngularJS; Cloud (AWS, GAE, Azure, etc.); Java; Python; Scala",,No,9,Employed full-time,Media / Advertising,500-999 employees,5-9 people,1,I rarely work remotely,I'm somewhat satisfied with my job,A friend referred me,Atom; IntelliJ,Multiple times a day,1-2 hours per week,Other (please specify),Mac OS X,Yes,"501 - 1,000",Once a week,Other (please specify),B.S. in Computer Science (or related field),I am not interested in new job opportunities,Salary; Ability to make or influence important decisions; Company reputation,The interview process,100%,Offer remote interviews (e.g. via video conference); Fewer brainteasers; Prepare me for who I will be speaking with,Star Trek,Agree somewhat,Agree completely,Agree somewhat,Agree completely,Disagree completely,Agree completely,Agree somewhat,Neutral,Disagree somewhat,Disagree completely,This is somewhat important,This is very important,This is somewhat important,This is very important,This is very important,This is very important,I don't care about this,This is somewhat important,This is somewhat important,I don't care about this,Fragile code base; Poor scheduling; Unrealistic expectations,To get help for my job; To give help to others
51556,Twitter,United States,North America,North America,20-24,22,Male,Developer; Engineer; Programmer; Full-stack Developer; Full Stack Overflow Developer; Hacker,Back-end web developer,Back-end web developer,1 - 2 years,1.5,"$130,000 - $140,000",135000,4.93,"Cloud (AWS, GAE, Azure, etc.); JavaScript; Objective-C; Scala",Dart; Go; JavaScript; Node.js; ReactJS,Yes,8,Employed full-time,Software Products,100-499 employees,5-9 people,3,I rarely work remotely,I'm somewhat satisfied with my job,Other,Sublime; Vim; IntelliJ,Multiple times a day,1-2 hours per week,Dogs,Mac OS X,Yes,2 - 100,Multiple times a day,I want to be a better developer,B.S. in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Salary; Ability to make or influence important decisions; Tech stack,The interview process,90%,Show me more live code; Fewer brainteasers,Star Wars,Agree somewhat,Agree somewhat,Agree somewhat,Agree completely,Agree completely,Disagree completely,Neutral,Neutral,Neutral,Disagree somewhat,This is very important,This is very important,I don't care about this,This is very important,This is somewhat important,This is somewhat important,This is very important,This is very important,I don't care about this,I don't care about this,Poor team dynamics; Changing requirements; Unspecific requirements,To get help for my job; To give help to others; Because I can't do my job without it; Beacause I love to learn
51558,Twitter,United States,North America,North America,30-34,32,Male,Developer; Engineer; Programmer,Back-end web developer,Back-end web developer,2 - 5 years,3.5,"$140,000 - $150,000",145000,4.93,Scala,Haskell; Rust,Other (please specify),6,Employed full-time,Finance / Banking,"1,000-4,999 employees",5-9 people,1,Full-time remote,I love my job,A friend referred me,Vim; IntelliJ,Multiple times a day,2-5 hours per week,Dogs,Mac OS X,Yes,101 - 500,Multiple times a day,I'm curious,"I'm self-taught; On-the-job training; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); Some college coursework in Computer Science (or related field)",I am not interested in new job opportunities,Salary; Tech stack; Work/life balance,The interview process,60%,Show me more live code; Offer remote interviews (e.g. via video conference); Fewer brainteasers,Star Wars,Agree completely,Neutral,Agree somewhat,Neutral,Neutral,Disagree completely,Agree completely,Neutral,Disagree somewhat,Neutral,This is somewhat important,This is very important,This is somewhat important,This is very important,This is very important,This is very important,This is very important,This is somewhat important,This is very important,I don't care about this,Unrealistic expectations; Poor documentation; Limited resources,To get help for my job; To give help to others
51571,Twitter,United States,North America,North America,50-59,54.5,Male,Programmer; Manager; Expert; Full-stack Developer,Full-stack web developer,Full-stack web developer,11+ years,13,,,4.93,C#; JavaScript; SQL; SQL Server,AngularJS; C#; JavaScript; Python; SQL; SQL Server,No,8,Employed full-time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51584,Twitter,United States,North America,North America,35-39,37,Male,Developer; Programmer; Sr. Developer; Full-stack Developer,Full-stack web developer,Full-stack web developer,11+ years,13,"$80,000 - $90,000",85000,4.93,AngularJS; C#; Cordova; JavaScript; SQL; SQL Server; WordPress,Arduino / Raspberry Pi; AngularJS; C#; Cordova; Hadoop; JavaScript; LAMP; MongoDB; Windows Phone,Other (please specify),8,Employed full-time,Government,100-499 employees,1-4 people,0,I rarely work remotely,I'm somewhat satisfied with my job,A friend referred me,Notepad++; Sublime; Vim; Visual Studio; Visual Studio Code,Multiple times a day,5-10 hours per week,Other (please specify),Windows 8,Yes,2 - 100,Multiple times a day,To keep my skills up to date,"Part-time program (e.g. night school); Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); B.S. in Computer Science (or related field)","I'm not actively looking, but I am open to new opportunities",Salary; Tech stack; Work/life balance; Office location; Quality of colleagues; Company culture; Remote working option; Flexible work hours,Interesting companies rarely respond to me,60%,Show me more live code; interview_coffee,Star Trek,Agree somewhat,Agree completely,Agree completely,Agree completely,Disagree somewhat,Disagree somewhat,Agree somewhat,Agree completely,Neutral,Disagree completely,This is somewhat important,This is very important,This is somewhat important,This is very important,This is very important,This is very important,This is somewhat important,,This is very important,This is very important,Poor team dynamics; Inefficient development processes; Corporate policies; Interacting with stupid people,To get help for my job; To receive help on my personal projects; Beacause I love to learn
51585,Twitter,United States,North America,North America,40-49,44.5,Male,Developer; Programmer; Sr. Developer; Full-stack Developer,Full-stack web developer,Full-stack web developer,11+ years,13,"$150,000 - $160,000",155000,4.93,Clojure; JavaScript; ReactJS; Redis; Ruby; SQL,ReactJS; Ruby; SharePoint,Yes,7,Employed full-time,Software Products,20-99 employees,15-20 people,4,Full-time remote,I'm somewhat satisfied with my job,A friend referred me,Vim,Multiple times a day,5-10 hours per week,Dogs,Mac OS X,Yes,101 - 500,Once a week,I want to be a better developer,I'm self-taught; Some college coursework in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Salary; Health insurance; Work/life balance; Quality of colleagues; Remote working option,Searching for a job that seems interesting,50%,Show me more live code; Offer remote interviews (e.g. via video conference); Fewer brainteasers,Star Wars,Agree somewhat,Neutral,Agree somewhat,Agree somewhat,Disagree somewhat,Disagree completely,Agree somewhat,Neutral,Agree somewhat,Disagree completely,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,I don't care about this,I don't care about this,This is very important,I don't care about this,Inefficient development processes; Fragile code base; Unspecific requirements,To get help for my job; To give help to others; Beacause I love to learn
51589,Twitter,United States,North America,North America,40-49,44.5,Male,Sr. Developer; Manager; Ninja; Full-stack Developer,Full-stack web developer,Full-stack web developer,11+ years,13,"$80,000 - $90,000",85000,4.93,AngularJS; CoffeeScript; iOS; JavaScript; LAMP; MongoDB; Node.js; Python; ReactJS; Swift,iOS; JavaScript; Node.js; ReactJS; Swift,Yes,8,Freelance / Contractor,Web Services,I am not part of a company,5-9 people,2,Full-time remote,I'm somewhat satisfied with my job,Self-employed - I created my own job,Sublime,A couple times a week,None,Cats,Mac OS X,Yes,101 - 500,Multiple times a day,I want to be a better developer,I'm self-taught; On-the-job training; Some college coursework in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Salary; Ability to make or influence important decisions; Health insurance; Tech stack; Work/life balance; Opportunity for advancement; Quality of colleagues; Company culture; Building something that's significant; Flexible work hours,Writing my CV and keeping it updated,70%,Offer remote interviews (e.g. via video conference); Show me the space in which I will work; Fewer brainteasers; Prepare me for who I will be speaking with,Star Trek,Agree completely,Agree somewhat,Agree completely,Agree completely,Agree completely,Agree completely,Agree completely,Neutral,Disagree somewhat,Disagree completely,This is somewhat important,This is very important,This is somewhat important,This is somewhat important,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is very important,Unrealistic expectations; Poor documentation; Limited resources,To get help for my job; To give help to others; whyso_onlinepresence; Beacause I love to learn
51592,Twitter,United States,North America,North America,30-34,32,Male,Developer; Engineer; Programmer; Sr. Developer; Manager; Rockstar; Full-stack Developer,Full-stack web developer,Full-stack web developer,11+ years,13,"$110,000 - $120,000",115000,4.93,C#; iOS; JavaScript; MongoDB; Node.js; Objective-C; ReactJS,C#; ReactJS,No,8,Employed full-time,Software Products,500-999 employees,5-9 people,3,I rarely work remotely,I love my job,A friend referred me,Atom; Visual Studio; Visual Studio Code; Xcode,Multiple times a day,2-5 hours per week,Cats,Windows 10,No,"1,001 - 5,000",Once a day,To keep my skills up to date,B.S. in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Salary; Company financials; Quality of colleagues,Taking time off work to interview,100%,Offer remote interviews (e.g. via video conference); Fewer brainteasers; Prepare me for who I will be speaking with,Star Wars,Agree completely,Agree somewhat,Agree completely,Agree completely,Disagree completely,Disagree completely,Agree somewhat,Agree somewhat,Disagree somewhat,Disagree completely,This is very important,This is very important,This is somewhat important,This is very important,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,I don't care about this,I don't care about this,Changing requirements; Unspecific requirements; Limited resources,To get help for my job
51609,Twitter,United States,North America,North America,< 20,16,Male,Developer; Programmer; Rockstar,Full-stack web developer,Full-stack web developer,1 - 2 years,1.5,"Less than $10,000",5000,4.93,JavaScript; Node.js; PHP; SQL,Android; AngularJS; iOS; Java; JavaScript; Node.js; SQL,No,7,Self-employed,Web Services,1-4 employees,I am not on a team,"I am not on a ""team""",I rarely work remotely,I love my job,Self-employed - I created my own job,Sublime; Android Studio; Eclipse,"I don't ""check-in or commit code"", but I do put code into production somewhat frequently",20+ hours per week,Cats,,Yes,I don't have an account,Once a day,To build a specific product I have in mind,I'm self-taught,I am not interested in new job opportunities,Salary; Opportunity for advancement; Building something that's significant,Writing cover letters,70%,Show me more live code; Be more flexible about interview scheduling; Offer remote interviews (e.g. via video conference); Introduce me to the boss; Introduce me to the team; interview_coffee; Show me the space in which I will work,,Agree completely,Agree completely,Agree somewhat,Neutral,Disagree somewhat,Disagree completely,Agree completely,Agree completely,Disagree completely,Disagree somewhat,I don't care about this,This is somewhat important,I don't care about this,This is somewhat important,This is very important,This is very important,This is very important,This is very important,I don't care about this,This is very important,Inefficient development processes; Poor documentation; Interacting with stupid people,To get help for my job; Because I can't do my job without it; To communicate with others like me; To receive help on my personal projects
51616,Twitter,United States,North America,North America,20-24,22,Male,Developer; Engineer; Programmer,Back-end web developer,Back-end web developer,1 - 2 years,1.5,"$90,000 - $100,000",95000,4.93,,Objective-C; Swift,Yes,5,Employed full-time,Software Products,"1,000-4,999 employees",5-9 people,1,I rarely work remotely,I hate my job,Career fair,,A couple times a week,None,Dogs,Mac OS X,Other (please specify),I'm not sure,Very rarely,To keep my skills up to date,B.A. in Computer Science (or related field),I am actively looking for a new job,Work/life balance; Opportunity for advancement,The interview process,90%,Show me more live code,Star Wars,Disagree completely,Neutral,Agree somewhat,Agree completely,Disagree completely,Disagree completely,Neutral,Neutral,Disagree completely,Disagree completely,This is somewhat important,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,I don't care about this,This is somewhat important,I don't care about this,Unrealistic expectations; Outdated technologies; Limited resources,whyso_onlinepresence
51617,Twitter,United States,North America,North America,30-34,32,Male,Sr. Developer; Manager; Full-stack Developer,Full-stack web developer,Full-stack web developer,11+ years,13,Rather not say,,4.93,"Android; AngularJS; C#; Cordova; Cloud (AWS, GAE, Azure, etc.); Java; JavaScript; Objective-C; Python; SQL; SQL Server",AngularJS; C#; F#; Hadoop; JavaScript; Python; R; ReactJS; SQL; SQL Server,Yes,9,Self-employed,Internet,1-4 employees,1-4 people,0,Full-time remote,I love my job,Self-employed - I created my own job,Notepad++; PyCharm; Visual Studio,Multiple times a day,5-10 hours per week,Dogs,Windows 10,Yes,1,Once a day,I want to be a better developer,"I'm self-taught; On-the-job training; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); Mentorship program (e.g. Flatiron School, GDI, etc.); Masters Degree in Computer Science (or related field)","I'm not actively looking, but I am open to new opportunities",Salary; Ability to make or influence important decisions; Health insurance; Tech stack; Opportunity for advancement; Quality of colleagues; Company culture; Company reputation; Building something that's significant; Remote working option; Building something that's innovative,The interview process,50%,Fewer brainteasers; Prepare me for who I will be speaking with,Star Wars,Agree completely,Agree completely,Agree completely,Neutral,Disagree somewhat,Agree completely,Agree completely,Agree completely,Neutral,Disagree completely,This is very important,This is very important,This is somewhat important,This is very important,This is very important,I don't care about this,This is very important,This is very important,This is very important,This is very important,Unrealistic expectations; Changing requirements; Unspecific requirements,To receive help on my personal projects
51618,Twitter,United States,North America,North America,30-34,32,Male,Engineer; Manager; Full-stack Developer,Engineering manager,Engineering manager,6 - 10 years,8,"$140,000 - $150,000",145000,4.93,AngularJS; C#; Cassandra; JavaScript; Python; SQL; SQL Server,"C#; Cassandra; Cloud (AWS, GAE, Azure, etc.); Python; ReactJS",Yes,7,Employed full-time,Media / Advertising,100-499 employees,5-9 people,2,I rarely work remotely,I'm somewhat satisfied with my job,A friend referred me,Atom; Visual Studio,Multiple times a day,1-2 hours per week,Dogs,Windows 10,Yes,"1,001 - 5,000",Once a day,To keep my skills up to date,Some college coursework in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Salary; Work/life balance; Building something that's significant,Writing my CV and keeping it updated,80%,Show me more live code,Star Wars,Agree somewhat,Agree completely,Agree completely,Agree completely,Agree completely,Agree somewhat,Agree somewhat,Neutral,Agree somewhat,Agree somewhat,This is somewhat important,This is very important,I don't care about this,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,I don't care about this,I don't care about this,Fragile code base; Corporate policies; Limited resources,To get help for my job; To give help to others; whyso_onlinepresence
51619,Twitter,United States,North America,North America,30-34,32,Male,Sr. Developer,Desktop developer,Desktop developer,11+ years,13,"More than $200,000",210000,4.93,AngularJS; C#; JavaScript; Node.js; ReactJS; Visual Basic,ReactJS,Other (please specify),10,Employed full-time,Software Products,"10,000+ employees",10-14 people,2,I rarely work remotely,I love my job,Career fair,Sublime; Visual Studio; Visual Studio Code,A couple times a week,2-5 hours per week,Dogs,Windows 10,Yes,"10,001+",Multiple times a day,To keep my skills up to date,I'm self-taught; On-the-job training; B.A. in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Salary; Work/life balance; Building something that's significant,Other (please specify),90%,Be more flexible about interview scheduling; Introduce me to the team; Prepare me for who I will be speaking with,Star Wars; Star Trek,Agree completely,Agree completely,Agree completely,Agree completely,Disagree completely,Agree somewhat,Disagree somewhat,Agree somewhat,Neutral,Neutral,This is somewhat important,This is very important,I don't care about this,This is very important,This is very important,This is somewhat important,This is somewhat important,This is very important,This is very important,This is somewhat important,Inefficient development processes; Non-technical management; Trying to be nice,To give help to others; whyso_onlinepresence
51620,Twitter,United States,North America,North America,25-29,27,Male,Developer; Programmer; Full-stack Developer,Full-stack web developer,Full-stack web developer,2 - 5 years,3.5,"$70,000 - $80,000",75000,4.93,C#; Java; JavaScript; SQL; SQL Server; Visual Basic,Android; Arduino / Raspberry Pi; C; C++; C#; F#; SQL; SQL Server,Yes,8,Employed full-time,Other (please specify),"10,000+ employees",5-9 people,1,I rarely work remotely,I'm somewhat satisfied with my job,A friend referred me,Notepad++; Sublime; Visual Studio; Xamarin,Multiple times a day,2-5 hours per week,Other (please specify),Windows 7,I don't know,"1,001 - 5,000",Multiple times a day,I'm curious,I'm self-taught; B.S. in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Ability to make or influence important decisions; Quality of colleagues; Company culture,The interview process,50%,Show me more live code; Introduce me to the team; Show me the space in which I will work,,Agree completely,Agree completely,Agree completely,Agree completely,Agree somewhat,Agree somewhat,Agree somewhat,Agree completely,Agree completely,Disagree completely,I don't care about this,This is very important,I don't care about this,This is very important,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,Inefficient development processes; Corporate policies; Non-technical management; Changing requirements; Unspecific requirements; Limited resources,Beacause I love to learn
51623,Twitter,United States,North America,North America,25-29,27,Male,Programmer; Ninja; Full-stack Developer,Mobile developer - iOS,"Mobile Dev (Android, iOS, WP & Multi-Platform)",2 - 5 years,3.5,"$70,000 - $80,000",75000,4.93,Android; iOS; Java; JavaScript; Objective-C; Ruby,iOS; Ruby; Swift,No,7,Employed full-time,Internet,1-4 employees,1-4 people,1,Full-time remote,I love my job,Stack Overflow,Sublime; Android Studio; Xcode,Multiple times a day,1-2 hours per week,Dogs,Mac OS X,Yes,"501 - 1,000",Multiple times a day,I want to be a better developer,I'm self-taught,"I'm not actively looking, but I am open to new opportunities",Salary; Health insurance; Work/life balance; Quality of colleagues; Building something that's significant; Remote working option,The interview process,40%,Show me more live code; Offer remote interviews (e.g. via video conference),Star Wars,Agree completely,Agree somewhat,Agree completely,Agree completely,Agree completely,Agree somewhat,Agree somewhat,Disagree somewhat,Disagree completely,Disagree somewhat,This is somewhat important,This is very important,This is somewhat important,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is very important,This is very important,Poor team dynamics; Unrealistic expectations; Unspecific requirements,To get help for my job; To give help to others; Because I can't do my job without it; To discover new job opportunities; Beacause I love to learn
51627,Twitter,United States,North America,North America,35-39,37,Male,Developer; Engineer; Sr. Developer; Expert; Full-stack Developer,Full-stack web developer,Full-stack web developer,11+ years,13,"$130,000 - $140,000",135000,4.93,"AngularJS; C#; Cloud (AWS, GAE, Azure, etc.); iOS; JavaScript; SQL; SQL Server",F#; Go,Yes,9,Employed full-time,Software Products,20-99 employees,5-9 people,0,I rarely work remotely,I'm somewhat satisfied with my job,"Other job website e.g. Indeed, Monster, Dice, Xing, etc.",Visual Studio; Visual Studio Code; Xamarin,Multiple times a day,1-2 hours per week,Dogs,Windows 8,Yes,"1,001 - 5,000",Multiple times a day,To keep my skills up to date,B.S. in Computer Science (or related field),I am not interested in new job opportunities,Salary; Equity; Tech stack; Company financials; Work/life balance; Office location; Company culture; Company reputation; Building something that's innovative,Searching for a job that seems interesting,70%,Show me more live code; Fewer brainteasers; Prepare me for who I will be speaking with,Star Wars,Agree somewhat,Agree completely,Agree somewhat,Neutral,Neutral,Neutral,Neutral,Neutral,Agree somewhat,Neutral,This is very important,This is very important,I don't care about this,This is very important,This is very important,This is very important,This is very important,This is very important,I don't care about this,This is somewhat important,Corporate policies; Changing requirements; Unspecific requirements,To give help to others
51637,Twitter,United States,North America,North America,30-34,32,Male,Developer; Engineer; Sr. Developer; Full-stack Developer,Full-stack web developer,Full-stack web developer,6 - 10 years,8,"$100,000 - $110,000",105000,4.93,AngularJS; C#; JavaScript; SQL,AngularJS; C#; JavaScript; Redis,Other (please specify),7,Employed full-time,Software Products,"1,000-4,999 employees",5-9 people,1,Full-time remote,I'm somewhat satisfied with my job,Stack Overflow,Visual Studio,Multiple times a day,None,Dogs,Windows 8,Yes,"1,001 - 5,000",Multiple times a day,I want to be a better developer,I'm self-taught; On-the-job training; B.S. in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Work/life balance; Remote working option; Building something that's innovative,The interview process,50%,Fewer brainteasers; Prepare me for who I will be speaking with,Star Wars,Agree somewhat,Agree somewhat,Agree somewhat,Neutral,Neutral,Disagree completely,Agree somewhat,Disagree completely,Disagree completely,Disagree completely,This is somewhat important,This is very important,This is very important,This is very important,This is very important,This is somewhat important,This is very important,This is somewhat important,This is very important,This is somewhat important,Inefficient development processes,To get help for my job; To discover new job opportunities; Beacause I love to learn
